GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
goodstudy-learning,com.goodstudy.learning.constants,GradeConstants,3,0,0,0,1,0,1,0,1,0
goodstudy-learning,com.goodstudy.learning.config,DataLoader,1,81,1,11,0,20,1,7,0,2
goodstudy-learning,com.goodstudy.learning.exception,NotFoundException,0,4,0,0,0,1,0,1,0,1
goodstudy-learning,com.goodstudy.learning,LearningApplication,5,3,0,0,2,1,1,1,1,1
goodstudy-learning,com.goodstudy.learning.validator,ProgressValidator,3,19,0,6,1,3,1,5,1,2
goodstudy-learning,com.goodstudy.learning.util,StringUtil,4,55,1,13,1,8,2,9,1,3
goodstudy-learning,com.goodstudy.learning.mapping,LearningMapper,9,43,3,3,1,17,4,2,1,2
goodstudy-learning,com.goodstudy.learning.controller,AdminController,152,11,8,0,28,4,7,1,3,1
goodstudy-learning,com.goodstudy.learning.controller,GradeController,15,6,0,0,3,1,2,1,2,1
goodstudy-learning,com.goodstudy.learning.controller,LearningController,39,64,1,1,5,13,5,7,4,7
goodstudy-learning,com.goodstudy.learning.controller,AdminController.CourseServicePlaceholder,2,3,0,0,1,1,1,1,1,1
goodstudy-learning,com.goodstudy.learning.controller,GlobalExceptionHandler,20,23,0,0,4,5,1,2,1,2
goodstudy-learning,com.goodstudy.learning.controller,ExamController,36,6,0,0,6,1,4,1,4,1
goodstudy-learning,com.goodstudy.learning.controller,CertificateController,16,20,0,0,2,3,2,2,2,2
goodstudy-learning,com.goodstudy.learning.controller,CourseAdminController,0,36,0,0,0,10,0,5,0,5
goodstudy-learning,com.goodstudy.learning.controller,LearningAdvancedController,0,26,0,0,0,7,0,4,0,4
goodstudy-learning,com.goodstudy.learning.service.impl,ExamAutoGrader,71,6,10,0,6,3,6,1,1,1
goodstudy-learning,com.goodstudy.learning.service.impl,GradeServiceImpl,26,115,4,8,1,24,6,7,2,5
goodstudy-learning,com.goodstudy.learning.service.impl,ExamServiceImpl,13,98,0,2,3,25,2,6,2,5
goodstudy-learning,com.goodstudy.learning.service.impl,CertificateServiceImpl,22,109,1,3,2,26,3,6,2,5
goodstudy-learning,com.goodstudy.learning.service.impl,CourseExtendedServiceImpl,106,167,13,5,10,37,14,6,6,5
goodstudy-learning,com.goodstudy.learning.service.impl,LearningServiceImpl,87,289,6,6,15,71,10,15,5,14
goodstudy-learning,com.goodstudy.learning.service.impl,LearningAdvancedServiceImpl,123,12,2,0,11,5,9,1,8,1
goodstudy-learning,com.goodstudy.learning.model,ProgressEntity,155,46,32,0,0,10,22,10,6,10
goodstudy-learning,com.goodstudy.learning.model,GradeEntity,250,50,54,0,0,10,36,10,9,10
goodstudy-learning,com.goodstudy.learning.model,LearningEntity,176,45,39,1,0,10,27,9,7,9
goodstudy-learning,com.goodstudy.learning.model,GradeEntity.GradeEntityBuilder,19,44,0,0,0,1,2,7,2,7
goodstudy-learning,com.goodstudy.learning.model,CourseEntity,224,73,50,0,1,10,31,13,6,13
goodstudy-learning,com.goodstudy.learning.model,ProgressEntity.ProgressEntityBuilder,15,30,0,0,0,1,2,5,2,5
goodstudy-learning,com.goodstudy.learning.model,CertificateEntity,250,50,54,0,0,10,36,10,9,10
goodstudy-learning,com.goodstudy.learning.model,CourseEntity.CourseEntityBuilder,19,44,0,0,0,1,2,7,2,7
goodstudy-learning,com.goodstudy.learning.model,ExamEntity,257,56,52,0,0,11,36,11,10,11
goodstudy-learning,com.goodstudy.learning.model,LearningEntity.LearningEntityBuilder,10,35,0,0,0,1,1,6,1,6
